Participant,Practice,Block,Trial,ObjectCount,VV
1,false,4,11,25,VV1VV2
2,true,0,0,16,VV2
2,true,0,1,16,VV1VV2
2,true,0,2,16,VV1
2,false,1,0,16,VV1VV2
2,false,1,1,16,VV2
2,false,1,2,16,VV2
2,false,1,3,16,VV2
2,false,1,4,16,VV1VV2
2,false,1,5,16,VV1
2,false,1,6,16,VV1VV2
2,false,1,7,16,VV1
2,false,1,8,16,VV1
2,false,1,9,16,VV2
2,false,1,10,16,VV1
2,false,1,11,16,VV1VV2
2,true,0,0,36,VV1
2,true,0,1,36,VV2
2,true,0,2,36,VV1VV2
2,false,2,0,36,VV1VV2
2,false,2,1,36,VV1VV2
2,false,2,2,36,VV2
2,false,2,3,36,VV2
2,false,2,4,36,VV2
2,false,2,5,36,VV1VV2
2,false,2,6,36,VV1
2,false,2,7,36,VV1VV2
2,false,2,8,36,VV1
2,false,2,9,36,VV1
2,false,2,10,36,VV2
2,false,2,11,36,VV1
2,true,0,0,25,VV2
2,true,0,1,25,VV1
2,true,0,2,25,VV1VV2
2,false,3,0,25,VV2
2,false,3,1,25,VV2
2,false,3,2,25,VV1VV2
2,false,3,3,25,VV1
2,false,3,4,25,VV1VV2
2,false,3,5,25,VV1
2,false,3,6,25,VV1
2,false,3,7,25,VV2
2,false,3,8,25,VV1
2,false,3,9,25,VV1VV2
2,false,3,10,25,VV1VV2
2,false,3,11,25,VV2
2,true,0,0,9,VV1
2,true,0,1,9,VV1VV2
2,true,0,2,9,VV2
2,false,4,0,9,VV1VV2
2,false,4,1,9,VV1
2,false,4,2,9,VV1VV2
2,false,4,3,9,VV1
2,false,4,4,9,VV1
2,false,4,5,9,VV2
2,false,4,6,9,VV1
2,false,4,7,9,VV1VV2
2,false,4,8,9,VV1VV2
2,false,4,9,9,VV2
2,false,4,10,9,VV2
2,false,4,11,9,VV2
3,true,0,0,36,VV1VV2
3,true,0,1,36,VV1
3,true,0,2,36,VV2
3,false,1,0,36,VV2
3,false,1,1,36,VV2
3,false,1,2,36,VV2
3,false,1,3,36,VV1VV2
3,false,1,4,36,VV1
3,false,1,5,36,VV1VV2
3,false,1,6,36,VV1
3,false,1,7,36,VV1
3,false,1,8,36,VV2
3,false,1,9,36,VV1
3,false,1,10,36,VV1VV2
3,false,1,11,36,VV1VV2
3,true,0,0,9,VV2
3,true,0,1,9,VV1
3,true,0,2,9,VV1VV2
3,false,2,0,9,VV1
3,false,2,1,9,VV1VV2
3,false,2,2,9,VV1VV2
3,false,2,3,9,VV2
3,false,2,4,9,VV2
3,false,2,5,9,VV2
3,false,2,6,9,VV1VV2
3,false,2,7,9,VV1
3,false,2,8,9,VV1VV2
3,false,2,9,9,VV1
3,false,2,10,9,VV1
3,false,2,11,9,VV2
3,true,0,0,25,VV1
3,true,0,1,25,VV2
3,true,0,2,25,VV1VV2
3,false,3,0,25,VV1
3,false,3,1,25,VV1VV2
3,false,3,2,25,VV1
3,false,3,3,25,VV1
3,false,3,4,25,VV2
3,false,3,5,25,VV1
3,false,3,6,25,VV1VV2
3,false,3,7,25,VV1VV2
3,false,3,8,25,VV2
3,false,3,9,25,VV2
3,false,3,10,25,VV2
3,false,3,11,25,VV1VV2
3,true,0,0,16,VV1
3,true,0,1,16,VV2
3,true,0,2,16,VV1VV2
3,false,4,0,16,VV2
3,false,4,1,16,VV1VV2
3,false,4,2,16,VV1
3,false,4,3,16,VV1VV2
3,false,4,4,16,VV1
3,false,4,5,16,VV1
3,false,4,6,16,VV2
3,false,4,7,16,VV1
3,false,4,8,16,VV1VV2
3,false,4,9,16,VV1VV2
3,false,4,10,16,VV2
3,false,4,11,16,VV2
4,true,0,0,16,VV1
4,true,0,1,16,VV2
4,true,0,2,16,VV1VV2
4,false,1,0,16,VV2
4,false,1,1,16,VV1
4,false,1,2,16,VV1VV2
4,false,1,3,16,VV1VV2
4,false,1,4,16,VV2
4,false,1,5,16,VV2
4,false,1,6,16,VV2
4,false,1,7,16,VV1VV2
4,false,1,8,16,VV1
4,false,1,9,16,VV1VV2
4,false,1,10,16,VV1
4,false,1,11,16,VV1
4,true,0,0,36,VV1VV2
4,true,0,1,36,VV1
4,true,0,2,36,VV2
4,false,2,0,36,VV1
4,false,2,1,36,VV2
4,false,2,2,36,VV1
4,false,2,3,36,VV1VV2
4,false,2,4,36,VV1VV2
4,false,2,5,36,VV2
4,false,2,6,36,VV2
4,false,2,7,36,VV2
4,false,2,8,36,VV1VV2
4,false,2,9,36,VV1
4,false,2,10,36,VV1VV2
4,false,2,11,36,VV1
4,true,0,0,25,VV1VV2
4,true,0,1,25,VV1
4,true,0,2,25,VV2
4,false,3,0,25,VV1VV2
4,false,3,1,25,VV1
4,false,3,2,25,VV1
4,false,3,3,25,VV2
4,false,3,4,25,VV1
4,false,3,5,25,VV1VV2
4,false,3,6,25,VV1VV2
4,false,3,7,25,VV2
4,false,3,8,25,VV2
4,false,3,9,25,VV2
4,false,3,10,25,VV1VV2
4,false,3,11,25,VV1
4,true,0,0,9,VV2
4,true,0,1,9,VV1
4,true,0,2,9,VV1VV2
4,false,4,0,9,VV1
4,false,4,1,9,VV1
4,false,4,2,9,VV2
4,false,4,3,9,VV1
4,false,4,4,9,VV1VV2
4,false,4,5,9,VV1VV2
4,false,4,6,9,VV2
4,false,4,7,9,VV2
4,false,4,8,9,VV2
4,false,4,9,9,VV1VV2
4,false,4,10,9,VV1
4,false,4,11,9,VV1VV2
5,true,0,0,36,VV1
5,true,0,1,36,VV1VV2
5,true,0,2,36,VV2
5,false,1,0,36,VV1VV2
5,false,1,1,36,VV2
5,false,1,2,36,VV2
5,false,1,3,36,VV2
5,false,1,4,36,VV1VV2
5,false,1,5,36,VV1
5,false,1,6,36,VV1VV2
5,false,1,7,36,VV1
5,false,1,8,36,VV1
5,false,1,9,36,VV2
5,false,1,10,36,VV1
5,false,1,11,36,VV1VV2
5,true,0,0,16,VV1
5,true,0,1,16,VV1VV2
5,true,0,2,16,VV2
5,false,2,0,16,VV1VV2
5,false,2,1,16,VV1VV2
5,false,2,2,16,VV2
5,false,2,3,16,VV2
5,false,2,4,16,VV2
5,false,2,5,16,VV1VV2
5,false,2,6,16,VV1
5,false,2,7,16,VV1VV2
5,false,2,8,16,VV1
5,false,2,9,16,VV1
5,false,2,10,16,VV2
5,false,2,11,16,VV1
5,true,0,0,25,VV1
5,true,0,1,25,VV1VV2
5,true,0,2,25,VV2
5,false,3,0,25,VV2
5,false,3,1,25,VV2
5,false,3,2,25,VV1VV2
5,false,3,3,25,VV1
5,false,3,4,25,VV1VV2
5,false,3,5,25,VV1
5,false,3,6,25,VV1
5,false,3,7,25,VV2
5,false,3,8,25,VV1
5,false,3,9,25,VV1VV2
5,false,3,10,25,VV1VV2
5,false,3,11,25,VV2
5,true,0,0,9,VV1VV2
5,true,0,1,9,VV2
5,true,0,2,9,VV1
5,false,4,0,9,VV1VV2
5,false,4,1,9,VV1
5,false,4,2,9,VV1VV2
5,false,4,3,9,VV1
5,false,4,4,9,VV1
5,false,4,5,9,VV2
5,false,4,6,9,VV1
5,false,4,7,9,VV1VV2
5,false,4,8,9,VV1VV2
5,false,4,9,9,VV2
5,false,4,10,9,VV2
5,false,4,11,9,VV2
